"s [m](t [s]), created by Plot Digitizer, 2.6.8"
"Date: 11/30/16, 12:06:24 AM"


44
t [s],s [m]
41.0145,0.522673,
49.2470,0.602236,
59.6925,0.593129,
68.2533,0.569635,
84.1152,0.570433,
97.7611,0.580522,
109.903,0.576197,
135.437,0.581791,
187.612,0.592778,
249.248,0.603804,
284.913,0.604345,
328.415,0.604920,
388.171,0.605598,
447.389,0.616275,
511.435,0.611752,
599.461,0.612403,
720.398,0.623374,
837.267,0.634400,
957.072,0.634969,
1121.99,0.620082,
1315.03,0.625892,
1490.94,0.611082,
1703.99,0.626980,
1947.37,0.648628,
2282.42,0.654706,
2720.66,0.644733,
3269.72,0.650884,
4529.06,0.668678,
6017.35,0.675510,
7862.60,0.676722,
9608.11,0.688922,
11450.4,0.701225,
15084.7,0.720153,
18433.5,0.733137,
22153.6,0.740131,
29196.7,0.717394,
36881.0,0.761302,
47386.6,0.775288,
61399.1,0.783078,
76956.7,0.765062,
90176.7,0.798179,
111115,0.819357,
140415,0.820643,
174440,0.863608,
