"s [m](t [s]), created by Plot Digitizer, 2.6.8"
"Date: 11/30/16, 12:04:13 AM"


42
t [s],s [m]
14.9629,0.0986295,
30.4109,0.118855,
45.0087,0.133782,
60.2360,0.158130,
75.4561,0.167799,
89.9088,0.175082,
121.460,0.178359,
150.918,0.183101,
182.898,0.184858,
212.484,0.199329,
272.918,0.213308,
328.014,0.213571,
390.952,0.213822,
473.794,0.215874,
593.745,0.216201,
782.288,0.218398,
955.903,0.224180,
1139.32,0.224444,
1357.85,0.226572,
1715.51,0.234553,
2167.75,0.236870,
2671.38,0.239170,
3318.90,0.249620,
4520.46,0.260688,
5953.56,0.279017,
7777.06,0.291307,
9662.68,0.301534,
11418.9,0.309448,
14793.9,0.317765,
18376.6,0.339974,
22085.3,0.343217,
25666.7,0.352185,
32434.7,0.352738,
39968.0,0.359118,
46823.2,0.387252,
58185.9,0.391034,
68777.0,0.388251,
79255.7,0.405011,
93650.1,0.422567,
118298,0.448430,
149441,0.471960,
176573,0.496503,
