Datum;Tijd;Parameter;Locatie;Meting;Eenheid;Bemonsteringshoogte;Referentievlak;
14-11-2019;12:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4505;cm;-999999999;NAP;
14-11-2019;12:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4504;cm;-999999999;NAP;
14-11-2019;12:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4501;cm;-999999999;NAP;
14-11-2019;12:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4496;cm;-999999999;NAP;
14-11-2019;12:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4492;cm;-999999999;NAP;
14-11-2019;13:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4485;cm;-999999999;NAP;
14-11-2019;13:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4472;cm;-999999999;NAP;
14-11-2019;13:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4462;cm;-999999999;NAP;
14-11-2019;13:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4448;cm;-999999999;NAP;
14-11-2019;13:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4446;cm;-999999999;NAP;
14-11-2019;13:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4443;cm;-999999999;NAP;
14-11-2019;14:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4440;cm;-999999999;NAP;
14-11-2019;14:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4438;cm;-999999999;NAP;
14-11-2019;14:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4437;cm;-999999999;NAP;
14-11-2019;14:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4440;cm;-999999999;NAP;
14-11-2019;14:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4442;cm;-999999999;NAP;
14-11-2019;14:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4443;cm;-999999999;NAP;
14-11-2019;15:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4443;cm;-999999999;NAP;
14-11-2019;15:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4441;cm;-999999999;NAP;
14-11-2019;15:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4441;cm;-999999999;NAP;
14-11-2019;15:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4441;cm;-999999999;NAP;
14-11-2019;15:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4444;cm;-999999999;NAP;
14-11-2019;15:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4449;cm;-999999999;NAP;
14-11-2019;16:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4451;cm;-999999999;NAP;
14-11-2019;16:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4451;cm;-999999999;NAP;
14-11-2019;16:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4451;cm;-999999999;NAP;
14-11-2019;16:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4452;cm;-999999999;NAP;
14-11-2019;16:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4453;cm;-999999999;NAP;
14-11-2019;16:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4454;cm;-999999999;NAP;
14-11-2019;17:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4454;cm;-999999999;NAP;
14-11-2019;17:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4454;cm;-999999999;NAP;
14-11-2019;17:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4455;cm;-999999999;NAP;
14-11-2019;17:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4454;cm;-999999999;NAP;
14-11-2019;17:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4455;cm;-999999999;NAP;
14-11-2019;17:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Eijsden grens;4454;cm;-999999999;NAP;
